Timestamp,timer.externalize_c,timer.externalize_libel,timer.finalize_c,timer.finalize_libel,timer.processnoise_c,timer.processnoise_libel,timer.stateinbounds_c,timer.stateinbounds_libel
77469,6,9,218,30,10,31,2,3
77489,6,9,10,31,10,32,1,4
77509,8,9,180,428,29,34,1,4
77529,5,14,188,428,29,34,1,4
77549,6,9,188,30,10,32,1,4
77569,5,9,148,30,10,32,99,4
77589,6,9,188,30,10,32,1,4
77609,6,9,245,30,10,32,1,4
77629,6,9,10,30,10,32,1,4
77649,6,9,10,30,10,32,1,4
77669,6,9,10,30,10,32,1,4
77689,6,9,10,30,10,32,1,4
77709,6,9,12,30,11,32,1,4
77729,6,9,10,30,10,32,1,4
77749,5,9,10,30,10,32,1,4
77769,51,9,10,30,11,32,1,4
77789,6,9,10,30,10,32,1,4
77809,6,9,10,30,10,32,1,4
77829,5,9,10,30,10,32,1,4
77849,6,9,10,30,10,32,1,4
77869,6,9,10,30,10,32,1,4
77889,5,9,10,30,10,32,1,4
77909,6,9,10,30,10,32,1,4
77929,6,9,10,30,10,32,1,4
77949,6,9,10,30,10,32,1,4
77969,6,9,11,30,10,32,2,4
77989,6,9,179,30,10,32,1,4
78009,6,9,11,34,11,33,1,4
78029,5,9,10,80,10,32,1,4
78049,6,9,11,119,12,38,1,4
78069,5,9,10,119,10,38,1,4
78089,5,9,10,119,10,38,1,4
78109,6,9,10,119,10,38,1,4
78129,6,9,10,119,10,38,1,4
78149,6,9,10,119,10,38,1,4
78169,5,9,10,119,11,38,1,4
78189,6,9,10,119,12,38,1,4
78209,6,9,10,119,11,38,1,4
78229,5,9,10,119,10,38,1,4
78249,6,9,9,119,10,38,1,4
78269,9,9,10,119,10,38,1,4
78289,5,9,10,119,10,38,1,4
78309,6,9,10,119,10,38,1,4
78329,6,9,10,119,10,38,1,4
78349,6,9,10,119,10,38,1,4
78369,6,9,10,119,10,38,1,4
78389,6,9,10,119,10,38,1,4
78409,6,9,10,119,10,38,1,4
78429,6,9,10,119,10,38,1,4
78449,7,9,10,119,29,38,1,4
78469,5,9,31,119,11,38,1,4
78489,6,9,10,119,10,38,1,4
78509,6,8,10,30,10,31,1,4
78529,5,9,10,30,11,32,2,4
78549,6,8,10,30,10,31,1,3
78569,6,8,10,30,10,31,2,3
78589,5,8,10,30,10,31,1,3
78609,5,8,10,30,10,31,1,3
78629,6,8,10,30,10,31,1,3
78649,6,8,10,30,10,31,1,3
78669,6,8,10,30,10,31,2,3
78689,6,8,10,30,10,31,1,3
78709,6,8,10,30,11,31,1,3
78729,5,8,11,30,10,31,1,3
78749,6,8,10,30,10,31,1,3
78769,6,8,11,30,10,31,1,3
78789,6,8,10,30,10,31,1,3
78809,5,8,10,30,10,31,1,3
78829,6,8,10,30,10,31,1,3
78849,6,8,10,30,10,31,1,3
78869,5,8,10,30,10,31,1,3
78889,6,8,10,30,10,31,1,3
78909,5,8,10,30,10,31,1,3
78929,5,8,10,30,10,31,1,3
78949,6,8,10,30,11,31,1,3
78969,6,8,10,30,10,31,1,3
78989,6,8,10,30,10,31,2,3
79009,6,9,10,40,11,33,26,25
79029,6,9,10,30,10,34,1,3
79049,7,9,35,59,10,34,1,4
79069,5,9,11,59,11,32,1,4
79089,5,9,10,59,10,32,2,4
79109,6,9,10,59,11,32,1,4
79129,6,9,55,59,10,32,1,4
79149,6,9,10,59,11,32,1,4
79169,6,9,10,59,10,32,1,4
79189,6,9,10,59,11,32,1,4
79209,6,9,10,59,11,32,1,4
79229,6,9,10,59,12,32,1,4
79249,5,9,10,59,11,32,1,4
79269,5,9,10,59,10,32,1,4
79289,6,9,10,59,10,32,2,4
79309,6,9,10,59,10,32,1,4
79329,6,9,10,59,10,32,1,4
79349,5,9,10,59,10,32,1,4
79369,6,9,10,59,10,32,1,4
79389,6,9,10,59,10,32,1,4
79409,11,9,10,59,10,32,1,4
79429,6,9,10,59,11,32,1,4
79449,8,9,218,59,10,32,1,4
79469,5,9,196,59,10,32,2,4
79489,5,9,178,59,10,32,1,4
79509,6,9,11,30,10,60,1,41
79529,6,9,225,214,10,32,1,3
79549,6,9,10,32,10,56,1,4
79569,7,9,28,32,10,32,1,4
79589,5,9,219,32,11,32,2,4
79609,5,9,173,32,10,32,2,4
79629,6,9,218,32,11,32,1,4
79649,6,9,181,32,10,32,1,4
79669,6,9,174,32,10,32,1,4
79689,6,9,174,32,10,32,1,4
79709,6,9,10,32,10,32,1,4
79729,6,9,218,32,10,32,1,4
79749,5,9,180,32,10,32,1,4
79769,6,9,180,32,10,32,1,4
79789,5,9,173,32,10,32,1,4
79809,6,9,183,32,10,32,1,4
79829,6,9,181,32,10,32,1,4
79849,6,9,188,32,10,32,1,4
79869,5,9,193,32,10,32,1,4
79889,6,9,196,32,11,32,1,4
79909,6,9,199,32,10,32,1,4
79929,6,9,240,32,10,32,1,4
79949,5,9,199,32,10,32,1,4
79969,6,9,201,32,10,32,2,4
79989,6,9,222,32,10,32,1,4
80010,5,27,12,30,10,31,1,4
80029,6,8,178,245,10,31,1,4
80049,5,10,160,221,11,32,1,5
80069,6,9,237,34,10,32,1,4
80089,6,9,181,34,10,32,1,4
80109,5,9,208,34,10,32,1,4
80129,5,9,10,34,10,32,1,4
80149,6,9,210,34,10,32,1,4
80169,6,9,251,34,10,32,1,4
80189,6,9,178,34,10,32,1,4
80209,6,9,219,34,11,32,1,4
80229,6,9,178,34,10,32,1,4
80249,6,9,178,34,11,32,1,4
80269,6,9,156,34,10,32,1,4
80289,6,9,10,34,11,32,1,4
80309,6,9,10,34,10,32,1,4
80329,6,9,10,34,10,32,1,4
80349,5,9,10,34,10,32,1,4
80369,6,9,10,34,10,32,1,4
80389,7,9,10,34,10,32,1,4
80409,5,9,153,34,10,32,1,4
80429,5,9,153,34,11,32,1,4
80449,6,9,153,34,10,32,1,4
80469,6,9,185,34,10,32,1,4
80489,6,9,154,34,10,32,1,4
80509,6,9,10,34,10,32,1,4
80529,6,9,156,422,10,32,1,4
